scheme_name,1Y CAGR,3Y CAGR,5Y CAGR,Sharpe,Max Drawdown,cagr_rank,sharpe_rank,dd_rank,Score
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,-0.014189387276458576,-0.02000736733144104,-0.07355104560439607,-0.6775081862757399,-0.36651701755201316,6.0,5.0,4.0,100.0
HDFC Money Market Fund - Growth Option - Direct Plan,0.06222538958052848,0.07359354353974212,0.06538942980840168,0.26545696695541304,-0.013923580128646473,5.0,4.0,6.0,91.93548387096774
Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,0.014802798847675547,0.150279910052318,0.16249594360158115,0.5729150426217549,-0.3996075381332732,2.0,3.0,3.0,17.741935483870968
quant Mid Cap Fund - Growth Option - Direct Plan,0.05452773481218798,0.1762701937593003,0.1835387187294455,0.6950969369481776,-0.33429874666118753,1.0,2.0,5.0,9.67741935483871
SBI Small Cap Fund - Direct Plan - Growth,0.05163892408933468,0.13824967528178234,0.15381042837420478,1.1109877307857698,-0.4026012761687717,3.0,1.0,2.0,0.0
Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,0.012334010325537603,0.10816482193754551,0.08324385918235988,,-1.0,4.0,,1.0,
